
Komşu olmayan şehir çiftleri arası mesafeler:
Adana (1) - Adıyaman (2): Tanımlanan = 339 km, Hesaplanan = 358 km, Fark = 19 km
Adana (1) - Afyonkarahisar (3): Tanımlanan = 578 km, Hesaplanan = 646 km, Fark = 68 km
Adana (1) - Ağrı (4): Tanımlanan = 980 km, Hesaplanan = 999 km, Fark = 19 km
Adana (1) - Amasya (5): Tanımlanan = 602 km, Hesaplanan = 691 km, Fark = 89 km
Adana (1) - Ankara (6): Tanımlanan = 491 km, Hesaplanan = 544 km, Fark = 53 km
Adana (1) - Antalya (7): Tanımlanan = 546 km, Hesaplanan = 536 km, Fark = 10 km
Adana (1) - Artvin (8): Tanımlanan = 1003 km, Hesaplanan = 1027 km, Fark = 24 km
Adana (1) - Aydın (9): Tanımlanan = 880 km, Hesaplanan = 943 km, Fark = 63 km
Adana (1) - Balıkesir (10): Tanımlanan = 902 km, Hesaplanan = 970 km, Fark = 68 km
Adana (1) - Bilecik (11): Tanımlanan = 785 km, Hesaplanan = 837 km, Fark = 52 km
Adana (1) - Bingöl (12): Tanımlanan = 633 km, Hesaplanan = 656 km, Fark = 23 km
Adana (1) - Bitlis (13): Tanımlanan = 743 km, Hesaplanan = 762 km, Fark = 19 km
Adana (1) - Bolu (14): Tanımlanan = 688 km, Hesaplanan = 734 km, Fark = 46 km
Adana (1) - Burdur (15): Tanımlanan = 647 km, Hesaplanan = 657 km, Fark = 10 km
Adana (1) - Bursa (16): Tanımlanan = 856 km, Hesaplanan = 925 km, Fark = 69 km
Adana (1) - Çanakkale (17): Tanımlanan = 1093 km, Hesaplanan = 1162 km, Fark = 69 km
Adana (1) - Çankırı (18): Tanımlanan = 590 km, Hesaplanan = 592 km, Fark = 2 km
Adana (1) - Çorum (19): Tanımlanan = 582 km, Hesaplanan = 600 km, Fark = 18 km
Adana (1) - Denizli (20): Tanımlanan = 761 km, Hesaplanan = 824 km, Fark = 63 km
Adana (1) - Diyarbakır (21): Tanımlanan = 539 km, Hesaplanan = 530 km, Fark = 9 km
Adana (1) - Edirne (22): Tanımlanan = 1183 km, Hesaplanan = 1278 km, Fark = 95 km
Adana (1) - Elazığ (23): Tanımlanan = 496 km, Hesaplanan = 515 km, Fark = 19 km
Adana (1) - Erzincan (24): Tanımlanan = 676 km, Hesaplanan = 775 km, Fark = 99 km
Adana (1) - Erzurum (25): Tanımlanan = 809 km, Hesaplanan = 833 km, Fark = 24 km
Adana (1) - Eskişehir (26): Tanımlanan = 690 km, Hesaplanan = 757 km, Fark = 67 km
Adana (1) - Gaziantep (27): Tanımlanan = 218 km, Hesaplanan = 214 km, Fark = 4 km
Adana (1) - Giresun (28): Tanımlanan = 720 km, Hesaplanan = 818 km, Fark = 98 km
Adana (1) - Gümüşhane (29): Tanımlanan = 780 km, Hesaplanan = 911 km, Fark = 131 km
Adana (1) - Hakkari (30): Tanımlanan = 899 km, Hesaplanan = 919 km, Fark = 20 km
Adana (1) - Isparta (32): Tanımlanan = 618 km, Hesaplanan = 667 km, Fark = 49 km
Adana (1) - İstanbul (34): Tanımlanan = 951 km, Hesaplanan = 999 km, Fark = 48 km
